# -*- tab-width: 12 -*-
FT2603
FT2604
FT2605
FT2606
FT2607
FT2608
FT2609S
FT2610
FT2611
FT2612
FT2613	CID+14232
FT2614
FT2615
FT2616
FT2617
FT2618
FT2619
FT2620
FT2621S
FT2622S
FT2623
FT2624
FT2625
FT2626
FT2627
FT2628
FT2629	CID+14234
FT2630S
FT2632
FT2633
FT2634	CID+20235
FT2635
FT2636
FT2637S
FT2638
FT2639
FT2640
FT2641
FT2642
FT2643
FT2645
FT2646
FT2647
FT2648
FT2649
FT2650
FT2651S
FT2652
FT2653
FT2654
FT2655
FT2656
FT2659	CID+20241
FT2660
FT2661
FT2662
FT2663S	CID+20243
FT2664	CID+20244
FT2665
FT2666
FT2667S
FT2668
FT2669
FT2670
FT2671
FT2672
FT2673
FT2674	CID+13874
FT2676S
FT2677
FT2678
FT2679
FT2680
FT2681
FT2682
FT2684S
FT2685S
FT2687
FT2688
FT2689	CID+14260
FT2690	CID+14261
FT2691	CID+14262
FT2692
FT2693
FT2694
FT2701	CID+20248
FT2702
FT2703
FT2704
FT2705
FT2706
FT2707
FT2708
FT2709
FT2710
FT2711
FT2712	CID+14263
FT2713
FT2714	CID+14265
FT2715
FT2716
FT2717
FT2718
FT2720
FT2721
FT2722
FT2723
FT2724
FT2725
FT2726S
FT2727
FT2728
FT2729S
FT2730	CID+20252
FT2731
FT2732
FT2733
FT2735
FT2736
FT2739
FT2740S
FT2741S
FT2742SS
FT2743
FT2744
FT2745
FT2746
FT2747
FT2748
FT2749
FT2750
FT2751
FT2752S
FT2753
FT2754SS
FT2755
FT2756
FT2757S
FT2758S	CID+14278
FT2760S
FT2761S
FT2764S
FT2765S
FT2766S
FT2767S
FT2824	CID+13474
FT2836
FT2861	CID+14087
FT2874S
FT2875
FT2909	CID+13566
FT2910	CID+7635
FT2912	CID+7968
FT2913	CID+14291
FT2916	CID+13915
FT2918	CID+13949
FT2919	CID+7977
FT2920	CID+7978
FT2921	CID+8494
FT2926	CID+7723
FT2927	CID+7740
FT3007
HG1601	CID+14272
HG1602	CID+7140
HG1603	CID+7817
HG1604	CID+20266
HG1605	CID+20267
HG1606	CID+7965
HG1607	CID+20268
HG1608	CID+20269
HG1609	CID+1416
HG1610	CID+14109
HG1611	CID+7966
HG1612	CID+20270
HG1613	CID+20263
HG1614	CID+20271
HG1615	CID+7963
HG1616	CID+5212
HG1617	CID+13731
HG1618	CID+7664
HG1619	CID+20272
HG1620	CID+20273
HG1621	CID+19312
HG1622	CID+20274
HG1623	CID+1879
HG1624	CID+13771
HG1625	CID+2019
HG1626	CID+7997
HG1627	CID+7970
HG1628	CID+7962
HG1629	CID+13803
HG1630	CID+13460
HG1631	CID+20296
HG1632	CID+13860
HG1633	CID+7971
HG1634	CID+5889
HG1635	CID+13876
HG1636	CID+7973
HG1637	CID+7975
HG1638	CID+7972
HG1639	CID+7974
HG1640	CID+14111
HG1641	CID+7721
HG1642	CID+13893
HG1643	CID+14196
HG1644	CID+20284
HG1645	CID+20285
HG1646	CID+7642
HG1647	CID+7738
HG1648	CID+7796
HG1649	CID+7750
HG1650	CID+14116
HG1651	CID+20175
HG1652	CID+5301
HG1653	CID+20287
HG1654	CID+13538
HG1655	CID+20288
HG1656	CID+7783
HG1657	CID+7785
HG1658	CID+20222
HG1659	CID+19346
HG1660	CID+14013
HG1661	CID+7991
HG1662	CID+7979
HG1663	CID+8003
HG1664	CID+20292
HG1665	CID+20293
HG1666	CID+7768
HG1667	CID+14074
HG1668	CID+20295
HG1669	CID+7693
HG1670	CID+20265
IA0101
IA0102*	CID+13698
IA0103
IA0104	CID+15387
IA0105	CID+13910
IA0107*	CID+17246
IA0108
IA0109*	CID+14216
IA0110
IA0111
IA0112
IA0113
IA0114
IA0115
IA0116
IA0117
IA0118
IA0119
IA0120
IA0121
IA0122
IA0123
IA0124*	CID+14047
IA0125*	CID+17269
IA0126
IA0127
IA0128
IA0129
IA0130
IA0131
IA0132*	CID+16793
IA0133*	CID+17303
IA0135
IA0136
IA0137*	CID+15425
IA0138
IA0139
IA0140
IA0141
IA0142S
IA0143
IA0144
IA0145
IA0146
IA0147
IA0148*	CID+13865
IA0149
IA0150
IA0151
IA0152
IA0153
IA0154
IA0155
IA0156
IA0157
IA0158
IA0159	CID+14110
IA0160
IA0161
IA0162
IA0163
IA0164
IA0165*	CID+17341
IA0166*	CID+17342
IA0167*	CID+17344
IA0168
IA0169
IA0170
IA0171
IA0173
IA0174
IA0175
IA0176
IA0177
IA0178
IA0179
IA0180
IA0181
IA0182SS
IA0183
IA0184
IA0185
IA0186
IA0187
IA0188
IA0189
IA0190
IA0191
IA0192
IA0194
IA0201
IA0202
IA0203
IA0204*	CID+17473
IA0205
IA0206*	CID+17475
IA0207
IA0208
IA0209
IA0210
IA0211
IA0212
IA0213
IA0214
IA0215
IA0216
IA0217
IA0218
IA0219*	CID+17528
IA0220
IA0221
IA0222*	CID+13850
IA0223
IA0224
IA0225
IA0226
IA0227
IA0228
IA0229
IA0230
IA0231
IA0232*	CID+17550
IA0234
IA0235
IA0236
IA0237
IA0238*	CID+14123
IA0239
IA0240
IA0241
IA0242
IA0243*	CID+17576
IA0244*	CID+17578
IA0245
IA0246
IA0247
IA0248
IA0249
IA0250
IA0251
IA0252
IA0253
IA0254
IA0255
IA0256
IA0257
IA0258
IA0259
IA0260
IA0261
IA0262
IA0263
IA0264
IA0265
IA0266
IA0267
IA0268
IA0269
IA0271	CID+20171
IA0272
IA0273
IA0274
IA0275
IA0276
IA0277
IA0278
IA0279
IA0280
IA0281
IA0282
IA0283
IA0284
IA0285
IA0286
IA0287
IA0288
IA0290*	CID+17625
IA0291*	CID+17628
IA0292
IA0293
IA0294
IA0301
IA0302
IA0303
IA0304
IA0305
IA0306
IA0307
IA0308
IA0309
IA0310
IA0311
IA0312
IA0313
IA0314S
IA0315
IA0316
IA0317
IA0318
IA0320
IA0321
IA0322	CID+20122
IA0323
IA0324
IA0325
IA0326
IA0327
IA0328
IA0329
IA0330
IA0331
IA0332
IA0333
IA0334
IA0335
IA0336
IA0337
