T1-4730 ǔ (伍)
T1-4731 fā,fá (伐)
T1-4732 xiōu,xǚ,xiǒu (休)
T1-4733 fú (伏)
T1-4734 zhòng (仲)
T1-4735 jiàn (件)
T1-4736 rèn,rén (任)
T1-4737 iǎng (仰)
T1-4738 pǐ (仳)
T1-4739 fèn,bīn (份)
T1-473A qì (企)
T1-473B jí (伋)
T1-473C guāng (光)
T1-473D xiōng (兇)
T1-473E zhào (兆)
T1-473F xiān,xiàn (先)
T1-4740 qüán (全)
T1-4741 gòng,gōng,gǒng (共)
T1-4742 zài (再)
T1-4743 bīng (冰)
T1-4744 liè,zhū,zá (列)
T1-4745 xíng (刑)
T1-4746 huá (划)
T1-4747 uěn (刎)
T1-4748 yuè (刖)
T1-4749 liè (劣)
T1-474A xiōng (匈)
T1-474B kuāng (匡)
T1-474C jiàng (匠)
T1-474D yìn (印)
T1-474E uéi (危)
T1-474F jí (吉)
T1-4750 lì (吏)
T1-4751 tóng,tòng (同)
T1-4752 diào (吊)
T1-4753 tǔ,tù (吐)
T1-4754 xǖ (吁)
T1-4755 cuèn (吋)
T1-4756 gè (各)
T1-4757 xiàng (向)
T1-4758 míng (名)
T1-4759 hé,gě (合)
T1-475A chī,jí (吃)
T1-475B hòu (后)
T1-475C iāo (吆)
T1-475D zhà (吒)
T1-475E yīn (因)
T1-475F huéi (回)
T1-4760 jiǎn,yuè,nān (囝)
T1-4761 zuèn,chóu,zhèn (圳)
T1-4762 dì,de (地)
T1-4763 zài (在)
T1-4764 guēi (圭)
T1-4765 ū (圬)
T1-4766 í (圯)
T1-4767 ǘ,uéi (圩)
T1-4768 sù (夙)
T1-4769 duō,duó (多)
T1-476A í (夷)
T1-476B kuā (夸)
T1-476C uàng (妄)
T1-476D jiān (奸)
T1-476E fēi,pèi (妃)
T1-476F hǎo,hào (好)
T1-4770 tā (她)
T1-4771 rú (如)
T1-4772 shuò (妁)
T1-4773 zì (字)
T1-4774 cuén (存)
T1-4775 ǚ (宇)
T1-4776 shǒu,shòu (守)
T1-4777 zhái,zhè (宅)
T1-4778 ān (安)
T1-4779 sì (寺)
T1-477A jiān (尖)
T1-477B ì (屹)
T1-477C zhōu (州)
T1-477D fán,fān (帆)
T1-477E bìng,bīng (并)
T1-4821 nián (年)
T1-4822 shì (式)
T1-4823 shǐ,chí (弛)
T1-4824 máng (忙)
T1-4825 cuěn (忖)
T1-4826 róng (戎)
T1-4827 xǖ (戌)
T1-4828 shù (戍)
T1-4829 chéng (成)
T1-482A kòu (扣)
T1-482B gāng,káng (扛)
T1-482C tuō (托)
T1-482D shōu (收)
T1-482E zǎo (早)
T1-482F zhǐ (旨)
T1-4830 xǘn (旬)
T1-4831 xǜ (旭)
T1-4832 qǖ,qǚ (曲)
T1-4833 ì,yè (曳)
T1-4834 iǒu,iòu (有)
T1-4835 xiǒu (朽)
T1-4836 pò,pú (朴)
T1-4837 zhū,shú (朱)
T1-4838 duǒ (朵)
T1-4839 cì,zī (次)
T1-483A cǐ (此)
T1-483B sǐ (死)
T1-483C nǎi (氖)
T1-483D rǔ (汝)
T1-483E hàn,hán (汗)
T1-483F ū,ù,ǖ,ǘ,uā (汙)
T1-4840 jiāng (江)
T1-4841 chí (池)
T1-4842 xì (汐)
T1-4843 shàn (汕)
T1-4844 ū (污)
T1-4845 xǜn (汛)
T1-4846 uán (汍)
T1-4847 fàn (汎)
T1-4848 huēi (灰)
T1-4849 móu (牟)
T1-484A pìn (牝)
T1-484B bǎi,bó (百)
T1-484C zhú (竹)
T1-484D mǐ (米)
T1-484E mì,sī (糸)
T1-484F fǒu (缶)
T1-4850 iáng,xiáng (羊)
T1-4851 ǚ (羽)
T1-4852 lǎo (老)
T1-4853 kǎo (考)
T1-4854 ér (而)
T1-4855 lěi (耒)
T1-4856 ěr (耳)
T1-4857 ǜ (聿)
T1-4858 ròu,rù (肉)
T1-4859 lè,lèi (肋)
T1-485A jī (肌)
T1-485B chén (臣)
T1-485C zì (自)
T1-485D zhì (至)
T1-485E jiòu (臼)
T1-485F shé (舌)
T1-4860 chuǎn (舛)
T1-4861 zhōu (舟)
T1-4862 gèn,gěn (艮)
T1-4863 sè,shǎi,shè (色)
T1-4864 ài,ì (艾)
T1-4865 huěi,chóng (虫)
T1-4866 xiě,xüè (血)
T1-4867 xíng,xìng,háng,hàng (行)
T1-4868 ī,ì (衣)
T1-4869 xī (西)
T1-486A qiān (阡)
T1-486B chuàn,guàn (串)
T1-486C hēng,héng,pēng (亨)
T1-486D uèi (位)
T1-486E zhù (住)
T1-486F zhù (佇)
T1-4870 tuō,tuó,tā (佗)
T1-4871 nìng (佞)
T1-4872 bàn (伴)
T1-4873 fó,bì,fú (佛)
T1-4874 hé (何)
T1-4875 gū,gǔ,gù (估)
T1-4876 zuǒ (佐)
T1-4877 iòu (佑)
T1-4878 qié,jiā (伽)
T1-4879 sì,cì (伺)
T1-487A shēn (伸)
T1-487B diàn,tián (佃)
T1-487C zhàn,zhān (佔)
T1-487D sì (似)
T1-487E dàn (但)
T1-4921 yòng (佣)
T1-4922 zuò,zuō,zuó (作)
T1-4923 nǐ (你)
T1-4924 bó,bǎi,bà (伯)
T1-4925 dī (低)
T1-4926 líng (伶)
T1-4927 ǘ,xǘ (余)
T1-4928 kòu (佝)
T1-4929 bù (佈)
T1-492A ì,dié (佚)
T1-492B duèi (兌)
T1-492C kè (克)
T1-492D miǎn,uèn (免)
T1-492E bīng (兵)
T1-492F yě (冶)
T1-4930 lěng (冷)
T1-4931 bié (別)
T1-4932 pàn (判)
