T1-4961 GPMM (均)
T1-4962 GNO (坎)
T1-4963 GNHE (圾)
T1-4964 OOG (坐)
T1-4965 GMF (坏)
T1-4966 GHML (圻)
T1-4967 VMG (壯)
T1-4968 KOO (夾)
T1-4969 VMV (妝)
T1-496A VHS (妒)
T1-496B VYHS (妨)
T1-496C VNG (妞)
T1-496D VPP (妣)
T1-496E VFH (妙)
T1-496F VHK (妖)
T1-4970 VMT (妍)
T1-4971 VNIN (妤)
T1-4972 VJE (妓)
T1-4973 VMG (妊)
T1-4974 BV (妥)
T1-4975 JKND (孝)
T1-4976 NDOK (孜)
T1-4977 BND (孚)
T1-4978 JBND (孛)
T1-4979 JMMU (完)
T1-497A JD (宋)
T1-497B JKI (宏)
T1-497C KUOLL (尬)
T1-497D SSR (局)
T1-497E SPP (屁)
T1-4A21 SE (尿)
T1-4A22 SHQU (尾)
T1-4A23 UJE (岐)
T1-4A24 UOMN (岑)
T1-4A25 CHU (岔)
T1-4A26 UNHE (岌)
T1-4A27 MOO (巫)
T1-4A28 KKLB (希)
T1-4A29 ININ (序)
T1-4A2A IPP (庇)
T1-4A2B ID (床)
T1-4A2C NEHG (廷)
T1-4A2D MGT (弄)
T1-4A2E CNLH (弟)
T1-4A2F BYHHH (彤)
T1-4A30 MTHHH (形)
T1-4A31 HOYHS (彷)
T1-4A32 HOHNE (役)
T1-4A33 YVP (忘)
T1-4A34 SUP (忌)
T1-4A35 GP (志)
T1-4A36 SIP (忍)
T1-4A37 PHBU (忱)
T1-4A38 PDK (快)
T1-4A39 PNG (忸)
T1-4A3A PCI (忪)
T1-4A3B IT (戒)
T1-4A3C HQI (我)
T1-4A3D QFH (抄)
T1-4A3E QYHN (抗)
T1-4A3F QYJ (抖)
T1-4A40 QJE (技)
T1-4A41 QQO (扶)
T1-4A42 QDK (抉)
T1-4A43 QNG (扭)
T1-4A44 QAU (把)
T1-4A45 QMSU (扼)
T1-4A46 QI (找)
T1-4A47 QPP (批)
T1-4A48 QME (扳)
T1-4A49 QNIN (抒)
T1-4A4A QYLM (扯)
T1-4A4B QHML (折)
T1-4A4C QCSH (扮)
T1-4A4D QHNE (投)
T1-4A4E QHLO (抓)
T1-4A4F QHUL (抑)
T1-4A50 QYK (抆)
T1-4A51 SUOK (改)
T1-4A52 MOK (攻)
T1-4A53 OLOK (攸)
T1-4A54 AMJ (旱)
T1-4A55 MLWK (更)
T1-4A56 DL (束)
T1-4A57 DND (李)
T1-4A58 DR (杏)
T1-4A59 DDH (材)
T1-4A5A DDI (村)
T1-4A5B DG (杜)
T1-4A5C DJK (杖)
T1-4A5D DSU (杞)
T1-4A5E DHHH (杉)
T1-4A5F DMJ (杆)
T1-4A60 DM (杠)
T1-4A61 DPI (杓)
T1-4A62 YVD (杗)
T1-4A63 YLMH (步)
T1-4A64 OWYI (每)
T1-4A65 IJE (求)
T1-4A66 ME (汞)
T1-4A67 EFH (沙)
T1-4A68 EP (沁)
T1-4A69 EHBU (沈)
T1-4A6A EBHU (沉)
T1-4A6B EMMU (沅)
T1-4A6C EJB (沛)
T1-4A6D EMG (汪)
T1-4A6E EDK (決)
T1-4A6F ED (沐)
T1-4A70 EKI (汰)
T1-4A71 EPU (沌)
T1-4A72 EA (汨)
T1-4A73 EL (沖)
T1-4A74 ENE (沒)
T1-4A75 EON (汽)
T1-4A76 EHK (沃)
T1-4A77 ENHE (汲)
T1-4A78 ECSH (汾)
T1-4A79 EYY (汴)
T1-4A7A EYHN (沆)
T1-4A7B EYK (汶)
T1-4A7C EMVM (沍)
T1-4A7D EMLS (沔)
T1-4A7E EPP (沘)
T1-4B21 EHML (沂)
T1-4B22 FG (灶)
T1-4B23 FPI (灼)
T1-4B24 VVF (災)
T1-4B25 NOF (灸)
T1-4B26 JHQ (牢)
T1-4B27 HQG (牡)
T1-4B28 HQPD (牠)
T1-4B29 KHF (狄)
T1-4B2A KHMG (狂)
T1-4B2B MGNO (玖)
T1-4B2C NIBQ (甬)
T1-4B2D IJB (甫)
T1-4B2E WKS (男)
T1-4B2F PW (甸)
T1-4B30 HAP (皂)
T1-4B31 BUMN (盯)
T1-4B32 IOK (矣)
T1-4B33 HDI (私)
T1-4B34 HDNHS (秀)
T1-4B35 HDHU (禿)
T1-4B36 JCKN (究)
T1-4B37 HVIF (系)
T1-4B38 BCMJ (罕)
T1-4B39 FB (肖)
T1-4B3A YVB (肓)
T1-4B3B BMJ (肝)
T1-4B3C BDI (肘)
T1-4B3D BM (肛)
T1-4B3E BG (肚)
T1-4B3F KIB (育)
T1-4B40 IAV (良)
T1-4B41 TYV (芒)
T1-4B42 TMD (芋)
T1-4B43 TPI (芍)
T1-4B44 BUHU (見)
T1-4B45 NBG (角)
T1-4B46 YMMR (言)
T1-4B47 COR (谷)
T1-4B48 MRT (豆)
T1-4B49 MSHO (豕)
T1-4B4A BUC (貝)
T1-4B4B GLNC (赤)
T1-4B4C GYO (走)
T1-4B4D RYO (足)
T1-4B4E HXH (身)
T1-4B4F JWJ (車)
T1-4B50 YTJ (辛)
T1-4B51 MMMV (辰)
T1-4B52 YMD (迂)
T1-4B53 YPD (迆)
T1-4B54 YNJ (迅)
T1-4B55 YON (迄)
T1-4B56 YVVV (巡)
T1-4B57 RAU (邑)
T1-4B58 MTNL (邢)
T1-4B59 MHNL (邪)
T1-4B5A QJNL (邦)
T1-4B5B SQNL (那)
T1-4B5C MCWM (酉)
T1-4B5D HFD (釆)
T1-4B5E WG (里)
T1-4B5F NLYHS (防)
T1-4B60 NLMMU (阮)
T1-4B61 NLTT (阱)
T1-4B62 NLME (阪)
T1-4B63 NLYHN (阬)
T1-4B64 TTM (並)
T1-4B65 HJLP (乖)
T1-4B66 BDU (乳)
T1-4B67 JLLN (事)
T1-4B68 YPMM (些)
T1-4B69 MLLM (亞)
T1-4B6A YRND (享)
T1-4B6B YRF (京)
T1-4B6C OTQ (佯)
T1-4B6D OYHV (依)
T1-4B6E OGDI (侍)
T1-4B6F OGG (佳)
T1-4B70 OJLK (使)
T1-4B71 OJKP (佬)
T1-4B72 OTC (供)
T1-4B73 OMNN (例)
T1-4B74 DOO (來)
T1-4B75 ORHV (侃)
T1-4B76 OMA (佰)
T1-4B77 OTT (併)
T1-4B78 ONIN (侈)
T1-4B79 OHNB (佩)
T1-4B7A OHYO (佻)
T1-4B7B OMBT (侖)
T1-4B7C OCB (佾)
T1-4B7D OHJD (侏)
T1-4B7E OKB (侑)
T1-4C21 OOMG (佺)
T1-4C22 NUI (兔)
T1-4C23 HXHU (兒)
T1-4C24 SSUU (兕)
T1-4C25 MLBO (兩)
T1-4C26 BMMC (具)
T1-4C27 TMMC (其)
T1-4C28 TBC (典)
T1-4C29 YMNN (冽)
T1-4C2A NUE (函)
T1-4C2B YOLN (刻)
T1-4C2C FQSH (券)
T1-4C2D SBLN (刷)
T1-4C2E DBLN (刺)
T1-4C2F MGLN (到)
T1-4C30 HRLN (刮)
T1-4C31 HBLN (制)
T1-4C32 HDLN (剁)
T1-4C33 YOKS (劾)
T1-4C34 SGKS (劻)
T1-4C35 YOOJ (卒)
T1-4C36 JKSS (協)
T1-4C37 YAJ (卓)
T1-4C38 HHJ (卑)
T1-4C39 GGY (卦)
T1-4C3A FQSU (卷)
T1-4C3B OUSL (卸)
T1-4C3C HTSL (卹)
T1-4C3D SJE (取)
T1-4C3E YFE (叔)
T1-4C3F BBE (受)
T1-4C40 RJD (味)
T1-4C41 RMNR (呵)
T1-4C42 RKSR (咖)
T1-4C43 RMFM (呸)
T1-4C44 RJR (咕)
T1-4C45 RBM (咀)
T1-4C46 RLWL (呻)
T1-4C47 RWL (呷)
T1-4C48 RUU (咄)
T1-4C49 RRHN (咒)
T1-4C4A RPRU (咆)
T1-4C4B RHFD (呼)
T1-4C4C RODI (咐)
T1-4C4D RHIO (呱)
T1-4C4E RVE (呶)
T1-4C4F HDR (和)
T1-4C50 RHEY (咚)
T1-4C51 RSP (呢)
T1-4C52 BGR (周)
T1-4C53 ROS (咋)
T1-4C54 OMRL (命)
T1-4C55 HOR (咎)
T1-4C56 WJR (固)
T1-4C57 GYT (垃)
T1-4C58 GMNR (坷)
T1-4C59 GMFJ (坪)
T1-4C5A GTM (坩)
T1-4C5B GDHE (坡)
T1-4C5C GAM (坦)
T1-4C5D GLWL (坤)
T1-4C5E GHMY (坼)
T1-4C5F YONK (夜)
T1-4C60 QKQ (奉)
T1-4C61 KMNR (奇)
T1-4C62 KMMF (奈)
T1-4C63 KLWV (奄)
T1-4C64 KJT (奔)
T1-4C65 YTV (妾)
T1-4C66 JLV (妻)
T1-4C67 HDV (委)
T1-4C68 VJD (妹)
T1-4C69 VSP (妮)
T1-4C6A VJR (姑)
T1-4C6B VWYI (姆)
T1-4C6C VBM (姐)
T1-4C6D VBT (姍)
T1-4C6E VIR (始)
T1-4C6F VHQM (姓)
T1-4C70 VLXH (姊)
T1-4C71 VLW (妯)
