FT2094	U+0530F	AE56
FT2101S	U+05377	AE78
FT2102	U+053B0	AE92
FT2103	U+053ED	AEAB
FT2104SS	U+05440	AEC0
FT2105	U+05450	AEB7
FT2106	U+05429	AEB8
FT2108	U+05486	AEC1
FT2109	U+054AC	54AC
FT2109	U+054AC	AEC4
FT2110	U+054FD	54FD
FT2110	U+054FD	AECD
FT2111	U+05599	AEE6
FT2112	U+05527	5527
FT2113	U+055BB	55BB
FT2114	U+055C5	AEF0
FT2115	U+055D4	AEF4
FT2116	U+0561B	AF05
FT2117	U+055F9	AEF8
FT2119	U+05680	AF23
FT2120	U+0568A	AF24
FT2121	U+056AE	AF25
FT2122	U+056BC	AF1C
FT2124	U+056CE	AF2F
FT2125S		AF32
FT2126S	U+05708	AF3C
FT2127	U+05789	AF51
FT2128	U+057D2	AF60
FT2129	U+05870	AF71
FT2130	U+0589F	AF81
FT2131	U+058AB	AF8D
FT2132	U+058BA	AF8E
FT2133	U+058B8	AF82
FT2134	U+058D9	AF9C
FT2135	U+058E5	AFA2
FT2136	U+0590A	590A
FT2136	U+0590A	AFB1
FT2137	U+05958	AFC6
FT2138	U+05962	AFCC
FT2139	U+05960	AFCF
FT2140	U+05969	AFD7
FT2141	U+05986	5986
FT2142	U+05A6C	AFEE
FT2143	U+05AAA	5AAA
FT2144	U+05ACB	AFFD
FT2145	U+05AC2	AFEA
FT2146	U+21883	B002
FT2148	U+05B36	B005
FT2149	U+05B3E	B008
FT2150	U+05B75	B014
FT2152	U+05BD0	B029
FT2153	U+05BE4	B02F
FT2155	U+05BE5	B037
FT2157	U+05C94	B065
FT2158	U+05CBC	B066
FT2159	U+05CFA	5CFA
FT2159	U+05CFA	B06F
FT2160	U+05CED	B070
FT2161	U+05D22	B076
FT2162	U+05D76	B07E
FT2163	U+05D90	B080
FT2164	U+05DD3	B093
FT2165	U+05E1A	B0A5
FT2166S	U+05E43	B0B2
FT2166S	U+05E43	B0B3
FT2167	U+05E64	B0B9
FT2168	U+09EBC	B0E3
FT2169	U+05ED0	B0DD
FT2170	U+05EC4	5EC4
FT2171	U+05ED6	B0E8
FT2173	U+05EF4	5EF4
FT2173	U+05EF4	B0F5
FT2174	U+05EF8	5EF8
FT2174	U+05EF8	B0F9
FT2175	U+05F09	B100
FT2176	U+05F5C	B102
FT2177	U+05F56	B122
FT2178	U+05F57	B123
FT2179	U+05FFF	B14F
FT2180	U+06026	B14C
