FT1940	U+06994	[U+06994 U+E0103]
FT1942	U+05154	[U+05154 U+E0105]
FT1943	U+05189	[U+05189 U+E0103]
FT1944	U+05195	[U+05195 U+E0105]
FT1946S	U+05539	[U+05539 U+E0103]
FT1947	U+05533	[U+05533 U+E0104]
FT1948	U+05632	[U+05632 U+E0103]
FT1949	U+056A5	[U+056A5 U+E0103]
FT1950	U+0580B	[U+0580B U+E0103]
FT1951S	U+05ABE	[U+05ABE U+E0104]
FT1954	U+06097	[U+06097 U+E0104]
FT1955	U+06369	[U+06369 U+E0103]
FT1956	U+06406	[U+06406 U+E0103]
FT1959	U+067A6	[U+067A6 U+E0103]
FT1960	U+067FA	[U+067FA U+E0101]
FT1961	U+0689B	[U+0689B U+E0103]
FT1964	U+07228	[U+07228 U+E0104]
FT1965	U+073CE	[U+073CE U+E0103]
FT1966	U+07504	[U+07504 U+E0103]
FT1969	U+07693	[U+07693 U+E0103]
FT1970	U+0787C	[U+0787C U+E0103]
FT1971	U+07A31	[U+07A31 U+E0104]
FT1973	U+07B99	[U+07B99 U+E0103]
FT1974	U+07C90	[U+07C90 U+E0103]
FT1975	U+07CAE	[U+07CAE U+E0103]
FT1976	U+07D9B	[U+07D9B U+E0103]
FT1977	U+07DAE	[U+07DAE U+E0103]
FT1978	U+07D9F	[U+07D9F U+E0103]
FT1979	U+07FD4	[U+07FD4 U+E0103]
FT1980	U+0822E	[U+0822E U+E0103]
FT1981	U+0828D	[U+0828D U+E0104]
FT1982	U+082D2	[U+082D2 U+E0104]
FT1983	U+08323	[U+08323 U+E0106]
FT1984	U+08375	[U+08375 U+E0105]
FT1985	U+08517	[U+08517 U+E0103]
FT1986	U+08782	[U+08782 U+E0103]
FT1987	U+087D2	[U+087D2 U+E0105]
FT1988	U+0890A	[U+0890A U+E0103]
FT1989	U+089AF	[U+089AF U+E0103]
FT1990	U+08ADE	[U+08ADE U+E0103]
FT1991	U+08DDA	[U+08DDA U+E0103]
FT1992	U+08E09	[U+08E09 U+E0103]
FT1993S	U+08F13	[U+08F13 U+E0103]
FT1994	U+08FEA	[U+08FEA U+E0103]
FT2001S	U+08FE9	[U+08FE9 U+E0104]
FT2002	U+09058	[U+09058 U+E0103]
FT2003	U+06248	[U+06248 U+E0103]
FT2004	U+091C1	[U+091C1 U+E0103]
FT2005	U+09724	[U+09724 U+E0103]
FT2006	U+09760	[U+09760 U+E0104]
FT2008	U+09824	[U+09824 U+E0103]
FT2009S	U+09B2E	[U+09B2E U+E0103]
FT2010	U+09B97	[U+09B97 U+E0103]
FT2011S	U+09BF2	[U+09BF2 U+E0103]
FT2012	U+09EAA	[U+09EAA U+E0103]
FT2013S	U+09F9C	[U+09F9C U+E0105]
FT2015	U+07E01	[U+07E01 U+E0102]
FT2016	U+05AC1	[U+05AC1 U+E0102]
FT2017	U+05BB6	[U+05BB6 U+E0102]
FT2018	U+07A3C	[U+07A3C U+E0102]
FT2021	U+05916	[U+05916 U+E0102]
FT2029	U+058D5	[U+058D5 U+E0102]
FT2031	U+08C6A	[U+08C6A U+E0104]
FT2033	U+09BAB	[U+09BAB U+E0102]
FT2036	U+08C61	[U+08C61 U+E0103]
FT2037	U+06756	[U+06756 U+E0102]
FT2040	U+066FE	[U+066FE U+E0103]
FT2041	U+0968A	[U+0968A U+E0103]
