509F	0123610	䔿
50A0	0123620	𦰞莜
50A1	0123630	萆
50A2	0123640	𦳚
50A3	0123650	苴
50A4	0123660	𧆓
50A5	0123670	𧂟蕢
50A6	0123671	㬰
50A7	0123680	𦵲𦯈
50A8	0123690	茵
50A9	0123691	鞇
50AA	0123700	芻
50AB	0123710	茭
50AC	0123720	荹
50AD	0123730	茹
50AE	0123740	莝
50AF	0123750	萎
50B0	0123760	䔩
50B1	0123770	𧀍𦮒䒼
50B2	0123780	蔟
50B3	0123790	苣
50B4	0123800	蕘
50B5	0123810	薪
50B6	0123820	蒸
50B7	0123821	䒱
50B8	0123830	蕉
50B9	0123850	薶
50BA	0123860	薓葠
50BB	0123870	㪿
50BC	0123871	𣂲𣂫𣂟
50BD	0123872	折
50BE	0123880	芔卉
50BF	0123890	艽
50C0	0123900	蒜
50C1	0123910	芥
50C2	0123920	蔥
50C3	0123930	蒮
50C4	0123940	蕇
50C5	0123950	苟
50C6	0123960	蕨
50C7	0123970	莎
50C8	0123980	蓱
50C9	0123990	蓳菫
50CA	0124000	菲
50CB	0124010	芴
50CC	0124020	𧆖𧅻
50CD	0124030	𦻃𦼉
50CE	0124040	葦
50CF	0124050	葭
50D0	0124060	萊莱
50D1	0124070	荔
50D2	0124080	蒙
50D3	0124090	𧃡薻
50D4	0124091	藻
50D5	0124100	菉
50D6	0124110	𧅝蓸
50D7	0124120	𦵵
50D8	0124130	菬
50D9	0124140	䓊
50DA	0124150	范
50DB	0124160	艿
50DC	0124170	䒸
50DD	0124180	萄
50DE	0124190	芑
50DF	0124200	藚
50E0	0124210	苳
50E1	0124220	薔
50E2	0124230	苕
50E3	0124240	𦼪
50E4	0124250	萺
50E5	0124260	𦯄茆𦮉
50E6	0124270	荼茶
50E7	0124280	𦾴
50E8	0124290	蒿
50E9	0124300	蓬
50EA	0124301	莑
50EB	0124310	藜
50EC	0124320	蘬
50ED	0124330	葆
50EE	0124340	蕃
50EF	0124350	茸
50F0	0124370	𦻄葏
50F1	0124380	䕺
50F2	0124390	𦳱𦷣草
50F3	0124400	𦰨菆
50F4	0124410	蓄
50F5	0124420	萅春
50F6	@0683	𦱄
50F7	0123280	菿
50F8	@0685	芙
50F9	@0686	蓉
50FA	@0687	薳
50FB	@0688	荀
50FC	@0689	莋
50FD	@0690	蓀
50FE	@0691	蔬
50FF	@0692	芊
5100	@0693	茗
5101	@0694	薌
5102	@0695	藏蔵
5103	@0696	蕆
5104	@0697	蘸
5105	0130010	蓐
5106	0130011	𦸳
5107	0130020	薅
5108	0130021	𦵢
5109	0130022	茠
510A	0140010	茻𦬠𦬇
510B	0140020	𦱤莫
510C	0140030	莽
510D	0140040	葬
510E	0150010	小
510F	0150020	少
5110	0150030	尐
5111	0160010	八
5112	0160020	分
5113	0160030	尒
5114	0160040	曾曽
5115	0160050	尙尚
5116	0160060	㒸
5117	0160070	詹
5118	0160080	介
5119	0160090	𠔁
511A	0160100	公
511B	0160110	必
511C	0160120	余
511D	0160130	𠎳
511E	0170010	釆
511F	0170011	𠂟
5120	0170020	番
5121	0170021	𨆌
5122	0170022	𥸨
5123	0170030	宷
5124	0170031	審
5125	0170040	悉
5126	0170041	𢚊
5127	0170050	釋釈
5128	0180010	半
5129	0180020	胖
512A	0180030	叛
512B	0190010	牛牜
512C	0190020	牡
512D	0190030	犅
512E	0190040	特
512F	0190050	牝
5130	0190060	犢
5131	0190070	𤘱㸬
5132	0190080	犙
5133	0190090	牭
5134	0190091	㹑
5135	0190100	犗
5136	0190110	牻
5137	0190120	㹁
5138	0190130	犡
5139	0190140	𤙛
513A	0190150	犖
513B	0190160	㸹
513C	0190170	𤘾
513D	0190180	犥
513E	0190190	𤜃犉
513F	0190200	㹊
5140	0190210	㹔
5141	0190220	𤘸
5142	0190230	犫
5143	0190240	牟
5144	0190250	㹌
5145	0190260	牲
5146	0190270	牷
5147	0190280	牽
5148	0190290	牿
5149	0190300	牢
514A	0190310	犓
514B	0190320	㹛
514C	0190330	𤛟
514D	0190340	𤛿
514E	0190350	㹃
514F	0190360	𤛒𤛴㹗
5150	0190370	牴
5151	0190380	𤜂
5152	0190390	㹂
5153	0190400	牼
5154	0190410	𤘡
5155	0190420	犀
5156	0190430	牣
5157	0190440	物
5158	0190450	犧犠
5159	@0772	犍
515A	@0773	犝
515B	0200010	犛
515C	0200020	氂
515D	0200030	斄
515E	0200031	𠩬
515F	0210010	吿告
5160	0210020	嚳
5161	0220010	口
5162	0220020	噭
5163	0220030	噣
5164	0220040	喙
5165	0220050	吻
5166	0220051	𦝮
5167	0220060	嚨
5168	0220070	㗋喉
5169	0220080	噲
516A	0220090	吞
516B	0220100	咽
516C	0220110	嗌
516D	0220111	𠍳
516E	0220120	喗
516F	0220130	哆
5170	0220140	呱
5171	0220150	啾
5172	0220160	喤
5173	0220170	咺
5174	0220180	唴
5175	0220190	咷
5176	0220200	喑
5177	0220210	㘈
5178	0220220	咳
5179	0220221	孩
517A	0220230	嗛
517B	0220240	咀
517C	0220250	啜
517D	0220260	㗱
517E	0220270	𠴧嚌
517F	0220280	噍
5180	0220281	嚼
5181	0220290	吮
5182	0220300	𠻜
5183	0220310	嚵
5184	0220320	簭
5185	0220330	啗
5186	0220340	嘰
5187	0220350	㗘
5188	0220360	含
5189	0220370	哺
518A	0220380	味
518B	0220390	嚛
518C	0220400	𠿡
518D	0220410	噫
518E	0220420	嘽
518F	0220430	𠾊唾
5190	0220431	涶	# dup.
5191	0220440	咦
5192	0220450	呬
5193	0220460	喘
5194	0220470	呼
5195	0220480	吸
5196	0220490	嘘
5197	0220500	吹	# dup.
5198	0220510	喟
5199	0220511	𡃪嘳
519A	0220520	𡃥啍
519B	0220530	嚔嚏
519C	0220540	𡂒
519D	0220550	唫
519E	0220560	噤
519F	0220570	名
51A0	0220580	吾
51A1	0220590	𠺤哲
51A2	0220591	悊	# dup.
51A3	0220592	嚞
51A4	0220600	君
51A5	0220601	𠱭
51A6	0220610	命
51A7	0220620	咨
51A8	0220630	召
51A9	0220640	問
51AA	0220650	唯
51AB	0220660	唱
51AC	0220670	咊和
51AD	0220680	咥
51AE	0220690	啞
51AF	0220700	噱
51B0	0220710	唏
51B1	0220720	听
51B2	0220730	呭
51B3	0220740	𡂢嘄
51B4	0220750	咄
51B5	0220760	唉
51B6	0220770	哉
51B7	0220780	噂
51B8	0220790	咠
51B9	0220800	呷
51BA	0220810	嘒
51BB	0220811	嚖
51BC	0220820	嘫
51BD	0220830	唪
51BE	0220840	嗔
51BF	0220850	𡄺嘌
